,neighbourhood_code,neigbourhood,neighbourhood_combination_code,district_code,surface_m2,geometry
0,F81d,Calandlaan/Lelylaan,F81,F,275360.0,"POLYGON ((4.800801 52.355175, 4.809055 52.356842, 4.808871 52.357183, 4.813056 52.358022, 4.815431 52.358501, 4.815476 52.358418, 4.816528 52.358645, 4.816692 52.358691, 4.816955 52.358796, 4.817073 52.358854, 4.817207 52.358937, 4.818559 52.358268, 4.818578 52.357708, 4.818583 52.357519, 4.818181 52.357504, 4.817748 52.357476, 4.816897 52.357361, 4.816516 52.357296, 4.812288 52.356438, 4.812482 52.356073, 4.8101 52.355593, 4.809983 52.35581, 4.808554 52.355518, 4.809374 52.353994, 4.808359 52.353788, 4.807345 52.353539, 4.803194 52.352699, 4.802242 52.352494, 4.800975 52.35484, 4.800801 52.355175))"
1,F81e,Osdorp Zuidoost,F81,F,519366.0,"POLYGON ((4.818583 52.357519, 4.818622 52.356295, 4.818066 52.356167, 4.820437 52.351738, 4.814195 52.351651, 4.812956 52.35166, 4.812665 52.351651, 4.812231 52.351625, 4.811712 52.351572, 4.811103 52.351479, 4.808162 52.350888, 4.803608 52.349968, 4.802242 52.352494, 4.803194 52.352699, 4.807345 52.353539, 4.808359 52.353788, 4.809374 52.353994, 4.808554 52.355518, 4.809983 52.35581, 4.8101 52.355593, 4.812482 52.356073, 4.812288 52.356438, 4.816516 52.357296, 4.816897 52.357361, 4.817748 52.357476, 4.818181 52.357504, 4.818583 52.357519))"
2,F82a,Osdorp Midden Noord,F82,F,215541.0,"POLYGON ((4.786657 52.362712, 4.795326 52.364434, 4.796917 52.36148, 4.788293 52.359736, 4.78812 52.360043, 4.786657 52.362712))"
3,F82b,Osdorp Midden Zuid,F82,F,258379.0,"POLYGON ((4.788293 52.359736, 4.796917 52.36148, 4.79816 52.359175, 4.799258 52.358027, 4.790209 52.356207, 4.788293 52.359736))"
4,F82c,Zuidwestkwadrant Osdorp Noord,F82,F,240774.0,"POLYGON ((4.790209 52.356207, 4.799258 52.358027, 4.800801 52.355175, 4.800975 52.35484, 4.798974 52.354437, 4.798672 52.354446, 4.794715 52.353604, 4.791896 52.353033, 4.791813 52.353181, 4.791386 52.353943, 4.791137 52.354441, 4.790861 52.355027, 4.790209 52.356207))"
5,F82d,Zuidwestkwadrant Osdorp Zuid,F82,F,402284.0,"POLYGON ((4.800975 52.35484, 4.802242 52.352494, 4.803608 52.349968, 4.801146 52.349472, 4.80055 52.349358, 4.799901 52.349199, 4.799436 52.349066, 4.798895 52.348876, 4.798501 52.348716, 4.798017 52.34849, 4.797752 52.348344, 4.797446 52.348156, 4.797165 52.347966, 4.796715 52.347625, 4.796156 52.347064, 4.795577 52.346245, 4.794751 52.347725, 4.794113 52.349029, 4.793418 52.350185, 4.793305 52.350441, 4.793047 52.350906, 4.792395 52.352149, 4.791896 52.353033, 4.794715 52.353604, 4.798672 52.354446, 4.798974 52.354437, 4.800975 52.35484))"
6,F83a,De Punt,F83,F,481657.0,"POLYGON ((4.777286 52.357218, 4.777516 52.357185, 4.777577 52.357187, 4.777728 52.357204, 4.777878 52.357236, 4.778013 52.35728, 4.778125 52.357331, 4.77829 52.357425, 4.77849 52.357559, 4.778607 52.357646, 4.778795 52.357811, 4.780832 52.359732, 4.782613 52.35902, 4.782719 52.358992, 4.782851 52.358984, 4.782944 52.358995, 4.78812 52.360043, 4.788293 52.359736, 4.790209 52.356207, 4.790861 52.355027, 4.791137 52.354441, 4.791386 52.353943, 4.791813 52.353181, 4.790474 52.352931, 4.790166 52.352891, 4.789154 52.352708, 4.788827 52.35267, 4.788581 52.352651, 4.788219 52.352634, 4.787978 52.352633, 4.787584 52.352658, 4.787199 52.352718, 4.787014 52.352759, 4.786511 52.35292, 4.776982 52.356751, 4.777286 52.357218))"
7,F83b,Bedrijvencentrum Osdorp,F83,F,117961.0,"POLYGON ((4.780832 52.359732, 4.781659 52.360502, 4.781978 52.36079, 4.782328 52.361063, 4.782514 52.361194, 4.782709 52.361321, 4.783119 52.361562, 4.783333 52.361676, 4.783782 52.361889, 4.784252 52.362083, 4.784745 52.362256, 4.784999 52.362335, 4.785518 52.362476, 4.785783 52.362538, 4.786657 52.362712, 4.78812 52.360043, 4.782944 52.358995, 4.782851 52.358984, 4.782719 52.358992, 4.782613 52.35902, 4.780832 52.359732))"
8,F86a,Overtoomse Veld Noord,F86,F,344673.0,"POLYGON ((4.834359 52.370099, 4.838315 52.369517, 4.838858 52.369442, 4.83929 52.369396, 4.840096 52.369323, 4.84047 52.3693, 4.840909 52.369293, 4.842162 52.369302, 4.842315 52.364137, 4.83388 52.364049, 4.833851 52.366383, 4.833887 52.367124, 4.833973 52.367862, 4.834359 52.370099))"
9,F86c,Rembrandtpark Noord,F86,F,304271.0,"POLYGON ((4.842569 52.36958, 4.845222 52.369613, 4.845639 52.369627, 4.846091 52.369657, 4.846617 52.36971, 4.847003 52.369761, 4.847629 52.369857, 4.847745 52.369603, 4.848359 52.369708, 4.848707 52.368951, 4.848678 52.368925, 4.849705 52.366698, 4.850323 52.365358, 4.850386 52.365368, 4.850459 52.365189, 4.850498 52.364232, 4.849187 52.364217, 4.842315 52.364137, 4.842162 52.369302, 4.842154 52.369574, 4.842569 52.36958))"
