folder,tilecode,n_points,RD_X,RD_Y,dup
nl-amsd-200823-7415-laz,2340_9830,1141363,117000,491500,False
nl-amsd-200823-7415-laz,2340_9829,80071,117000,491450,False
nl-amsd-200823-7415-laz,2340_9828,29284,117000,491400,False
nl-amsd-200823-7415-laz,2340_9827,1465325,117000,491350,False
nl-amsd-200823-7415-laz,2340_9826,1684776,117000,491300,False
nl-amsd-200823-7415-laz,2340_9825,17103,117000,491250,False
nl-amsd-200823-7415-laz,2340_9824,51714,117000,491200,False
nl-amsd-200823-7415-laz,2340_9809,864998,117000,490450,False
nl-amsd-200823-7415-laz,2340_9822,898,117000,491100,False
nl-amsd-200823-7415-laz,2340_9816,8187,117000,490800,False
nl-amsd-200823-7415-laz,2340_9814,37535,117000,490700,False
nl-amsd-200823-7415-laz,2340_9795,1558,117000,489750,False
nl-amsd-200823-7415-laz,2340_9831,2949287,117000,491550,False
nl-amsd-200823-7415-laz,2340_9813,792,117000,490650,False
nl-amsd-200823-7415-laz,2340_9808,302080,117000,490400,False
nl-amsd-200823-7415-laz,2340_9823,24077,117000,491150,False
nl-amsd-200823-7415-laz,2340_9815,56493,117000,490750,False
nl-amsd-200823-7415-laz,2340_9841,0,117000,492050,False
nl-amsd-200823-7415-laz,2340_9833,13836,117000,491650,False
nl-amsd-200823-7415-laz,2341_9791,72802,117050,489550,True
nl-amsd-200823-7415-laz,2341_9789,733341,117050,489450,True
nl-amsd-200823-7415-laz,2341_9788,78218,117050,489400,True
nl-amsd-200823-7415-laz,2341_9787,1223,117050,489350,True
nl-amsd-200823-7415-laz,2341_9792,956,117050,489600,False
nl-amsd-200823-7415-laz,2340_9847,740580,117000,492350,False
nl-amsd-200823-7415-laz,2340_9846,441129,117000,492300,False
nl-amsd-200823-7415-laz,2340_9845,20412,117000,492250,False
nl-amsd-200823-7415-laz,2340_9832,841658,117000,491600,False
nl-amsd-200823-7415-laz,2340_9844,0,117000,492200,False
nl-amsd-200823-7415-laz,2340_9842,2968,117000,492100,False
nl-amsd-200823-7415-laz,2341_9790,1020611,117050,489500,True
nl-amsd-200823-7415-laz,2340_9840,0,117000,492000,False
nl-amsd-200823-7415-laz,2340_9839,9389,117000,491950,False
nl-amsd-200823-7415-laz,2340_9838,319636,117000,491900,False
nl-amsd-200823-7415-laz,2340_9837,79385,117000,491850,False
nl-amsd-200823-7415-laz,2340_9836,2896,117000,491800,False
nl-amsd-200823-7415-laz,2340_9834,2635,117000,491700,False
nl-amsd-200823-7415-laz,2340_9843,0,117000,492150,False
nl-amsd-200823-7415-laz,2340_9794,312376,117000,489700,False
nl-amsd-200823-7415-laz,2339_9833,136509,116950,491650,False
nl-amsd-200823-7415-laz,2340_9792,1540687,117000,489600,False
nl-amsd-200823-7415-laz,2339_9827,2300448,116950,491350,False
nl-amsd-200823-7415-laz,2339_9826,136762,116950,491300,False
nl-amsd-200823-7415-laz,2339_9825,1098,116950,491250,False
nl-amsd-200823-7415-laz,2339_9824,920,116950,491200,False
nl-amsd-200823-7415-laz,2339_9823,254,116950,491150,False
nl-amsd-200823-7415-laz,2339_9816,0,116950,490800,False
nl-amsd-200823-7415-laz,2339_9815,249,116950,490750,False
nl-amsd-200823-7415-laz,2339_9809,851947,116950,490450,False
nl-amsd-200823-7415-laz,2339_9828,582801,116950,491400,False
nl-amsd-200823-7415-laz,2339_9808,268563,116950,490400,False
nl-amsd-200823-7415-laz,2339_9794,16890,116950,489700,False
nl-amsd-200823-7415-laz,2339_9793,155997,116950,489650,False
nl-amsd-200823-7415-laz,2341_9793,2177783,117050,489650,False
nl-amsd-200823-7415-laz,2339_9788,75902,116950,489400,True
nl-amsd-200823-7415-laz,2339_9792,138820,116950,489600,False
nl-amsd-200823-7415-laz,2339_9791,15064,116950,489550,True
nl-amsd-200823-7415-laz,2339_9790,855228,116950,489500,True
nl-amsd-200823-7415-laz,2339_9789,652730,116950,489450,True
nl-amsd-200823-7415-laz,2339_9795,2787,116950,489750,False
nl-amsd-200823-7415-laz,2340_9793,2673469,117000,489650,False
nl-amsd-200823-7415-laz,2339_9829,61701,116950,491450,False
nl-amsd-200823-7415-laz,2339_9831,2020891,116950,491550,False
nl-amsd-200823-7415-laz,2340_9791,1533054,117000,489550,True
nl-amsd-200823-7415-laz,2340_9790,3144335,117000,489500,True
nl-amsd-200823-7415-laz,2340_9789,947129,117000,489450,True
nl-amsd-200823-7415-laz,2340_9788,88838,117000,489400,True
nl-amsd-200823-7415-laz,2340_9787,0,117000,489350,True
nl-amsd-200823-7415-laz,2339_9847,988503,116950,492350,False
nl-amsd-200823-7415-laz,2339_9846,2662307,116950,492300,False
nl-amsd-200823-7415-laz,2339_9845,3619750,116950,492250,False
nl-amsd-200823-7415-laz,2339_9830,135819,116950,491500,False
nl-amsd-200823-7415-laz,2339_9844,750431,116950,492200,False
nl-amsd-200823-7415-laz,2339_9842,35018,116950,492100,False
nl-amsd-200823-7415-laz,2339_9841,450,116950,492050,False
nl-amsd-200823-7415-laz,2339_9839,781,116950,491950,False
nl-amsd-200823-7415-laz,2339_9838,3084992,116950,491900,False
nl-amsd-200823-7415-laz,2339_9837,1557688,116950,491850,False
nl-amsd-200823-7415-laz,2339_9836,2128,116950,491800,False
nl-amsd-200823-7415-laz,2339_9835,295,116950,491750,False
nl-amsd-200823-7415-laz,2339_9832,1193285,116950,491600,False
nl-amsd-200823-7415-laz,2339_9843,11299,116950,492150,False
nl-amsd-200823-7415-laz,2341_9794,388252,117050,489700,False
nl-amsd-200823-7415-laz,2342_9816,5507,117100,490800,False
nl-amsd-200823-7415-laz,2341_9808,373731,117050,490400,False
nl-amsd-200823-7415-laz,2342_9846,1200693,117100,492300,False
nl-amsd-200823-7415-laz,2342_9845,63944,117100,492250,False
nl-amsd-200823-7415-laz,2342_9844,0,117100,492200,False
nl-amsd-200823-7415-laz,2342_9836,0,117100,491800,False
nl-amsd-200823-7415-laz,2342_9835,175301,117100,491750,False
nl-amsd-200823-7415-laz,2342_9834,1441372,117100,491700,False
nl-amsd-200823-7415-laz,2342_9833,3173367,117100,491650,False
nl-amsd-200823-7415-laz,2342_9832,125566,117100,491600,False
nl-amsd-200823-7415-laz,2342_9831,19916,117100,491550,False
nl-amsd-200823-7415-laz,2342_9830,61906,117100,491500,False
nl-amsd-200823-7415-laz,2342_9829,1097590,117100,491450,False
nl-amsd-200823-7415-laz,2342_9828,492294,117100,491400,False
nl-amsd-200823-7415-laz,2342_9827,16643,117100,491350,False
nl-amsd-200823-7415-laz,2342_9826,461878,117100,491300,False
nl-amsd-200823-7415-laz,2342_9825,4646824,117100,491250,False
nl-amsd-200823-7415-laz,2342_9824,516057,117100,491200,False
nl-amsd-200823-7415-laz,2342_9823,52286,117100,491150,False
nl-amsd-200823-7415-laz,2342_9847,55390,117100,492350,False
nl-amsd-200823-7415-laz,2343_9788,91191,117150,489400,True
nl-amsd-200823-7415-laz,2343_9789,766234,117150,489450,True
nl-amsd-200823-7415-laz,2343_9790,1195700,117150,489500,True
nl-amsd-200823-7415-laz,2343_9823,6819,117150,491150,False
nl-amsd-200823-7415-laz,2343_9822,1579,117150,491100,False
